"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2021","111.50","111.47","112.31","110.11","10.58M","0.55%"
"Apr 29, 2021","110.89","112.38","112.61","110.33","6.77M","-0.93%"
"Apr 28, 2021","111.93","111.68","112.57","111.32","5.12M","0.44%"
"Apr 27, 2021","111.44","111.25","111.85","110.58","3.52M","0.04%"
"Apr 26, 2021","111.39","111.56","112.04","110.85","5.20M","0.01%"
"Apr 23, 2021","111.38","109.71","111.77","109.55","4.61M","1.21%"
"Apr 22, 2021","110.05","110.65","111.09","109.61","5.05M","-0.68%"
"Apr 21, 2021","110.80","109.79","111.44","109.35","6.18M","1.62%"
"Apr 20, 2021","109.03","108.12","109.56","108.05","5.41M","0.39%"
"Apr 19, 2021","108.61","107.97","108.73","107.12","4.54M","0.65%"
"Apr 16, 2021","107.91","107.49","108.55","107.14","8.21M","0.95%"
"Apr 15, 2021","106.89","105.99","106.95","105.62","5.73M","0.93%"
"Apr 14, 2021","105.90","106.22","106.67","105.58","7.77M","-2.14%"
"Apr 13, 2021","108.22","108.03","108.36","107.03","6.17M","-0.03%"
"Apr 12, 2021","108.25","107.82","108.57","107.36","5.65M","0.66%"
"Apr 09, 2021","107.54","106.39","107.72","106.05","5.98M","1.36%"
"Apr 08, 2021","106.10","105.40","106.92","105.35","5.88M","0.85%"
"Apr 07, 2021","105.21","105.53","106.13","104.17","8.04M","-0.16%"
"Apr 06, 2021","105.38","105.85","106.28","104.88","8.52M","-0.72%"
"Apr 05, 2021","106.14","109.08","109.08","105.40","10.58M","-2.19%"
"Apr 01, 2021","108.52","108.92","108.98","107.32","5.09M","0.28%"
"Mar 31, 2021","108.22","106.88","109.18","106.80","9.05M","1.34%"
"Mar 30, 2021","106.79","106.86","107.03","105.87","5.35M","0.06%"
"Mar 29, 2021","106.73","105.76","107.00","105.49","5.47M","0.71%"
"Mar 26, 2021","105.98","103.87","106.12","103.84","6.60M","2.02%"
"Mar 25, 2021","103.88","102.90","104.15","102.05","6.28M","0.80%"
"Mar 24, 2021","103.06","104.82","105.33","103.05","9.42M","-1.70%"
"Mar 23, 2021","104.84","105.37","105.94","104.51","6.11M","-1.00%"
"Mar 22, 2021","105.90","103.50","106.40","102.88","7.63M","2.40%"
"Mar 19, 2021","103.42","103.93","104.43","102.92","10.90M","-0.34%"
"Mar 18, 2021","103.77","104.00","104.99","103.42","8.68M","-1.21%"
"Mar 17, 2021","105.04","103.76","105.09","102.80","19.45M","-5.23%"
"Mar 16, 2021","110.84","109.95","111.08","109.90","5.57M","0.53%"
"Mar 15, 2021","110.26","108.67","110.36","108.36","6.64M","1.89%"
"Mar 12, 2021","108.22","107.80","108.58","107.37","5.34M","0.32%"
"Mar 11, 2021","107.87","108.13","108.63","107.34","4.67M","-0.12%"
"Mar 10, 2021","108.00","107.39","108.36","107.05","5.76M","1.13%"
"Mar 09, 2021","106.79","106.48","108.69","106.44","6.86M","0.64%"
"Mar 08, 2021","106.11","106.85","108.16","105.80","6.05M","-0.55%"
"Mar 05, 2021","106.70","106.01","106.99","104.07","7.28M","0.99%"
"Mar 04, 2021","105.65","106.50","107.75","104.95","7.50M","-0.99%"
"Mar 03, 2021","106.71","106.86","107.14","105.46","7.22M","-1.06%"
"Mar 02, 2021","107.85","108.85","109.38","107.81","5.49M","-0.52%"
"Mar 01, 2021","108.41","108.53","109.21","108.07","4.71M","0.62%"
"Feb 26, 2021","107.74","107.68","108.58","105.36","9.25M","0.38%"
"Feb 25, 2021","107.33","108.48","109.30","107.07","6.24M","-1.25%"
"Feb 24, 2021","108.69","106.00","109.44","105.60","7.63M","2.28%"
"Feb 23, 2021","106.27","106.97","107.60","105.96","7.06M","-0.74%"
"Feb 22, 2021","107.06","104.66","107.68","104.23","10.27M","1.95%"
"Feb 19, 2021","105.01","106.23","106.70","104.91","6.70M","-0.99%"
"Feb 18, 2021","106.06","105.32","106.61","105.21","5.39M","-0.22%"
"Feb 17, 2021","106.29","104.70","106.75","104.15","6.94M","2.01%"
"Feb 16, 2021","104.20","105.33","106.19","104.02","5.64M","-0.23%"
"Feb 12, 2021","104.44","103.76","104.57","103.15","3.74M","0.67%"
"Feb 11, 2021","103.75","104.57","104.68","103.32","5.09M","-0.29%"
"Feb 10, 2021","104.05","105.98","106.13","103.72","7.45M","-1.28%"
"Feb 09, 2021","105.40","106.00","106.50","105.11","5.51M","-1.35%"
"Feb 08, 2021","106.84","108.89","108.98","105.81","9.20M","-1.74%"
"Feb 05, 2021","108.73","109.63","110.27","108.44","7.25M","0.18%"
"Feb 04, 2021","108.53","106.87","108.88","105.25","9.08M","1.48%"
"Feb 03, 2021","106.95","106.20","107.57","104.01","12.10M","3.36%"
"Feb 02, 2021","103.47","102.88","104.31","102.50","10.48M","1.14%"
"Feb 01, 2021","102.30","103.00","103.89","101.86","7.52M","-0.18%"
"Jan 29, 2021","102.48","104.00","104.49","101.81","9.38M","-1.66%"
"Jan 28, 2021","104.21","104.00","105.14","103.11","8.53M","1.38%"
"Jan 27, 2021","102.79","106.28","106.70","102.59","11.89M","-5.52%"
"Jan 26, 2021","108.80","111.30","111.30","108.56","5.55M","-1.54%"
"Jan 25, 2021","110.50","109.73","111.23","109.21","6.93M","-0.32%"
"Jan 22, 2021","110.86","110.65","111.60","109.48","5.19M","-0.36%"
"Jan 21, 2021","111.26","112.63","112.75","110.76","5.42M","-1.21%"
"Jan 20, 2021","112.62","112.91","113.10","111.47","6.55M","0.39%"
"Jan 19, 2021","112.18","111.25","112.31","110.26","7.72M","1.50%"
"Jan 15, 2021","110.52","111.20","111.56","109.48","9.20M","-0.99%"
"Jan 14, 2021","111.63","110.70","112.69","109.50","8.27M","-0.73%"
"Jan 13, 2021","112.45","109.80","113.41","109.70","9.82M","2.43%"
"Jan 12, 2021","109.78","109.22","110.78","109.12","6.11M","0.70%"
"Jan 11, 2021","109.02","107.06","109.56","107.06","6.33M","1.63%"
"Jan 08, 2021","107.27","106.84","107.53","105.76","5.35M","0.52%"
"Jan 07, 2021","106.71","106.11","107.06","105.57","8.20M","1.07%"
"Jan 06, 2021","105.58","104.75","107.19","104.18","11.02M","-0.86%"
"Jan 05, 2021","106.50","105.41","107.02","104.63","6.82M","1.03%"
"Jan 04, 2021","105.41","107.18","107.35","103.86","9.52M","-1.62%"
"Dec 31, 2020","107.15","105.26","107.28","104.85","6.15M","1.79%"
"Dec 30, 2020","105.27","105.11","106.23","105.10","5.33M","0.54%"
"Dec 29, 2020","104.70","103.95","105.37","103.95","5.10M","1.21%"
"Dec 28, 2020","103.45","103.65","103.88","102.72","3.95M","0.18%"
"Dec 24, 2020","103.26","103.11","103.39","102.60","1.38M","-0.02%"
"Dec 23, 2020","103.28","103.06","103.92","102.91","3.66M","0.47%"
"Dec 22, 2020","102.80","103.41","103.50","102.01","4.00M","-0.88%"
"Dec 21, 2020","103.71","102.76","103.92","101.55","6.66M","-0.71%"
"Dec 18, 2020","104.45","105.03","105.06","103.20","13.91M","-0.42%"
"Dec 17, 2020","104.89","104.86","105.50","104.11","6.36M","0.24%"
"Dec 16, 2020","104.64","102.50","105.41","101.90","9.18M","1.77%"
"Dec 15, 2020","102.82","105.44","105.45","102.32","12.10M","-1.32%"
